"","pickup_longitude","pickup_latitude"
"1",-73.9913334787879,40.7391226121212
"2",-73.9620385267857,40.7793904419643
"3",-73.9602640883978,40.7702886906077
"4",-73.9589892748816,40.7718376966825
"5",-73.9828882628399,40.7508555166163
"6",-73.9641499386973,40.7769808122605
"7",-73.9801111361257,40.7390564554974
"8",-74.0158531851311,40.715568244898
"9",-73.9555734425676,40.7643097162162
"10",-73.9418264125874,40.818838034965
"11",-73.9940574344263,40.7436344836066
"12",-73.9586906977778,40.7782095333333
"13",-73.9914874575645,40.7498169606397
"14",-73.9525727688171,40.789291389785
"15",-73.9930221465518,40.7338301867816
"16",-73.9635262298658,40.7744397885906
"17",-73.9913611754386,40.7577932368421
"18",-73.98281637,40.7644705966667
"19",-73.9956264017094,40.723249965812
"20",-73.9596134656085,40.7711089259259
"21",-73.9596785679442,40.7627755365853
"22",-73.9578290547945,40.77360643379
"23",-73.9456982,40.7643996
"24",-74.0005370923077,40.7391747846154
"25",-73.9729161108373,40.7489474408867
"26",-73.99311044,40.7119910533333
"27",-73.9677081824817,40.8028180973236
"28",-73.9758449473684,40.7818585368421
"29",-73.9886498062156,40.7370925923217
"30",-73.9733866127819,40.7544607180451
"31",-73.9854565957447,40.6706410771277
"32",-73.9627196963471,40.7584811415525
"33",-73.974734674221,40.7616735297451
"34",-73.982504140665,40.767632511509
"35",-73.978682503268,40.7625893965142
"36",-73.9617395285714,40.7710565
"37",-74.0074418655914,40.748677188172
"38",-73.9675700822511,40.7523294805195
"39",-73.9481778231047,40.7828269765343
"40",-73.9878847417722,40.7547743341772
"41",-74.011732,40.7040851055046
"42",-73.9738420055453,40.7632014251386
"43",-73.9484104736842,40.7233472488038
"44",-73.985331193038,40.7687145094937
"45",-74.0097295755102,40.714816477551
"46",-73.991653245283,40.7410257264151
"47",-74.0113837863013,40.702776769863
"48",-73.9676764699828,40.7628184425386
"49",-73.9793973429603,40.7670336714801
"50",-73.9715806930091,40.7463776382979
"51",-73.9803632680412,40.7654126701031
"52",-73.9791596770427,40.782052463035
"53",-73.9817768458647,40.7673507330827
"54",-73.9788789180327,40.7641729278689
"55",-73.9521511018182,40.7726898763636
"56",-73.9910179087302,40.7279404206349
"57",-73.9872039512712,40.7608100889831
"58",-73.9811076938776,40.746591244898
"59",-73.9546721973684,40.78077825
"60",-73.9770959166666,40.7747579196429
"61",-73.979936419463,40.752238557047
"62",-73.9806698154425,40.7301023785311
"63",-73.9766221223022,40.7493020935252
"64",-73.9752911129808,40.7898745024039
"65",-73.958735359673,40.7640279373297
"66",-73.9577627748345,40.779512192053
"67",-73.9578930625,40.7762727784091
"68",-74.2108127735849,40.693947754717
"69",-73.8551952285714,40.8873361142857
"70",-74.0168543507462,40.7067869552239
"71",-73.9918965014005,40.7645763977591
"72",-73.9895178538813,40.7204405753425
"73",-74.0098724226803,40.7031650824742
"74",-73.9893393595506,40.7538280168539
"75",-73.9808984428571,40.7476852892857
"76",-73.9458738101266,40.8085661308017
"77",-73.9785812151163,40.7618602296512
"78",-73.9638306783041,40.7711050922694
"79",-73.986252107317,40.7673325902439
"80",-73.9875469636363,40.7627616363636
"81",-74.0039365985915,40.7429736619718
"82",-73.9807937264574,40.77466682287
"83",-73.9540611919643,40.7746769642857
"84",-73.9720638978978,40.7983378228228
"85",-73.9717795479452,40.7644882260274
"86",-73.9591579641434,40.7776014422311
"87",-73.9526542234763,40.8228514514673
"88",-73.9610680534125,40.7749738278931
"89",-73.9930907966102,40.6949407694916
"90",-73.992013828125,40.769312234375
"91",-73.9827982452229,40.7632740636943
"92",-74.0097332987013,40.7222531688312
"93",-73.9898677852761,40.7388167576687
"94",-73.96175578223,40.8111122247387
"95",-73.9978014716049,40.7412643185185
"96",-73.9761427094017,40.761261965812
"97",-73.9874719215686,40.7580018235294
"98",-73.9796260426829,40.7650220365854
"99",-73.9798881724138,40.7532186551724
"100",-74.0039639619565,40.7530009347826
"101",-73.9594190337078,40.774275494382
"102",-74.0130365985916,40.716601528169
"103",-73.9629710408497,40.7752848513073
"104",-73.9599666540085,40.7584153122363
"105",-73.9820987759196,40.7607365016722
"106",-73.9612474434783,40.7605616226087
"107",-73.9812301568627,40.7552893960784
"108",-73.9783240424242,40.7539573272727
"109",-73.6194416923077,40.723514
"110",-73.9532417204301,40.7826497150537
"111",-73.9871687212121,40.7483763939394
"112",-73.9790219879518,40.7873429277108
"113",-73.9925367122302,40.7496076870503
"114",-73.9847892878049,40.751190604878
"115",-73.9826656002766,40.7216659280774
"116",-73.9738096716418,40.7694817910448
"117",-73.9782718133971,40.7371365358852
"118",-73.958433205036,40.709044118705
"119",-73.9645816605505,40.8020117477064
"120",-73.9833228590604,40.7562140961968
"121",-73.9803188739256,40.7514859169055
"122",-73.9765424469274,40.7395942486034
