geoid,dist_roadbed_pickup_feet,count,avg_pickup_dist_feet,building_block_int_dis_tbl_bulkdens
360050071001002,0.0,1,0.0,3.739702
360050071002002,0.0,1,0.0,5.046298999999999
360050071002004,0.0,1,0.0,0.015913999999999998
360050071002011,0.0,1,0.0,5.976186
360050071002014,0.0,1,0.0,0.331788
360050071002015,0.341593864952015,1,0.341593864952015,8.122192
360050072001001,29.239090678734197,1,29.239090678734197,2.3912880000000003
360050072003001,0.0,1,0.0,0.0
360050072004000,0.0,1,0.0,3.7999650000000003
360050073002001,0.0,1,0.0,4.478508000000001
360050073003000,2.4015597333583103,3,0.8005199111194368,4.433472
360050074001001,0.0,1,0.0,2.377513
360050075002002,32.929448885229,1,32.929448885229,1.7982209999999998
360050075003000,58.4091093540547,1,58.4091093540547,3.156684
360050075004001,0.0,1,0.0,4.150142
360050078001002,0.0,1,0.0,2.547303
360050078002004,0.0,1,0.0,3.4319610000000003
360050079001003,0.0,1,0.0,3.808904
360050079002001,0.0,1,0.0,4.438179
360050079003002,0.0,1,0.0,3.298114
360050079004000,0.0,1,0.0,4.860182
360050079006000,0.0,1,0.0,4.562828
360050083001000,0.0,1,0.0,3.905093
360050083005000,0.8627045809118108,1,0.8627045809118108,6.611675
360050085002000,0.0,1,0.0,2.78884
360050085003000,0.0,1,0.0,4.701807
360050085005000,0.0,1,0.0,6.929894
360050086001000,91.41623379264273,1,91.41623379264273,2.6181419999999997
360050086002000,0.0,1,0.0,2.642652
360050087001004,0.0,1,0.0,5.401058
360050089001000,20.5355662824523,2,10.26778314122615,3.749165
360050089001001,0.0,1,0.0,8.618902
360050089002002,6.69194252526108,1,6.69194252526108,4.556165
360050090002010,0.0,1,0.0,0.0
360050090003000,0.0,1,0.0,2.297175
360050092003001,0.0,2,0.0,2.756381
360050092004000,0.0,2,0.0,2.562221
360050093002004,0.0,1,0.0,4.526016
360050093004000,0.0,1,0.0,4.468458999999999
360050096002002,13.0021565436057,1,13.0021565436057,3.4053699999999996
360050096002026,0.0,1,0.0,3.6221919999999996
360050096002027,0.0,1,0.0,2.960156
360050098002002,2.7185541979105197,1,2.7185541979105197,1.8076759999999998
360050098004000,8.98400272425574,1,8.98400272425574,1.956559
360050110001012,615.180503537007,2,307.5902517685035,0.000908
360050115021012,0.0,1,0.0,0.481311
360050115021018,0.0,1,0.0,0.0
360050117001003,0.0,1,0.0,5.60544
360050117002000,133.62983177328698,1,133.62983177328698,0.22427399999999997
360050117002025,40.3864197940285,1,40.3864197940285,2.544152
360050117002026,259.701517508809,1,259.701517508809,2.138676
360050117002029,419.8710262951022,2,209.9355131475511,1.9292509999999998
360050119001002,0.0,1,0.0,0.083092
360050121011000,0.0,1,0.0,3.1845849999999998
360050123001001,0.0,1,0.0,8.333606
360050123001002,0.0,1,0.0,4.380633
360050123003010,0.0,2,0.0,0.0
360050125001000,0.0,1,0.0,3.008332
360050125001001,4.585043532000031,1,4.585043532000031,7.226219
360050127012000,3.20504340555731,1,3.20504340555731,3.110188
360050130001007,45.724049020838,1,45.724049020838,1.1742620000000001
360050132003004,0.0,1,0.0,1.623572
360050132004000,0.9319188933499419,1,0.9319188933499419,2.271888
360050133002002,0.0,1,0.0,3.5342290000000003
360050135003000,0.0,1,0.0,3.7755120000000004
360050141002000,0.0,3,0.0,4.544333999999999
360050141002001,21.7958519114235,3,7.2652839704745,14.933191
360050143001013,0.0,1,0.0,0.9981200000000001
360050147012001,0.0,1,0.0,7.347116000000001
360050149003001,0.0,3,0.0,5.923847
360050151002003,0.0,1,0.0,3.7063639999999998
360050151003000,0.0,1,0.0,3.359732
360050152001000,0.0,1,0.0,1.6654220000000002
360050152002000,19.6198685615489,1,19.6198685615489,2.404032
360050153001010,2.46056101993975,1,2.46056101993975,5.7243059999999995
360050157002001,51.4061030042418,4,12.85152575106045,2.315798
360050159001000,0.0,2,0.0,6.336693
360050161001002,0.0,1,0.0,3.720839
360050161001006,0.0,1,0.0,2.442648
360050161004001,25.3937884368806,1,25.3937884368806,6.40031
360050163001001,0.0,1,0.0,0.010241
360050165001006,0.0,1,0.0,0.0
360050171001000,0.0,1,0.0,0.016175
360050173003000,0.0,1,0.0,1.5255100000000001
360050173004001,0.0,1,0.0,6.612995
360050173004002,0.0,1,0.0,9.489413
360050175001001,0.0,1,0.0,5.67242
360050177011002,0.0,1,0.0,4.936176000000001
360050177013002,0.0,1,0.0,3.533788
360050179011000,0.0,1,0.0,5.375893
360050179011001,0.0,1,0.0,8.834569
360050179013001,8.56901208998658,2,4.28450604499329,6.821673
360050179021000,0.0,1,0.0,2.398701
360050179022000,0.0,2,0.0,7.35522
360050181011003,0.0,1,0.0,3.5465169999999997
360050181022000,0.0,1,0.0,7.485200999999999
360050181022001,0.0,1,0.0,9.085955
360050183011000,0.0,2,0.0,9.853664
360050183011001,29.417431988099604,2,14.708715994049802,9.501134
360050183012000,0.0,3,0.0,7.730928
360050183013001,0.0,1,0.0,20.330005
360050184003001,7.180796449493308,1,7.180796449493308,2.13416
360050185001000,0.0,1,0.0,3.7300169999999997
360050185001006,0.0,2,0.0,3.399174
360050185001008,0.0,2,0.0,3.4638440000000004
360050185001009,90.9241752885009,1,90.9241752885009,0.128801
360050185004002,0.0,1,0.0,2.304654
360050185005002,0.0,4,0.0,2.980013
360050189001002,0.0,1,0.0,0.0
360050189001009,4.07306565022142,2,2.03653282511071,5.470082
360050189001010,0.0,1,0.0,0.0
360050189002000,0.0,1,0.0,4.608461
360050189002001,4.664449606496991,3,1.554816535498997,7.413786999999999
360050193001001,0.0,1,0.0,4.799055
360050193004002,1.4745582271981001,1,1.4745582271981001,4.091754
360050194001019,0.0,1,0.0,0.36029
360050195001000,39.4915165448949,1,39.4915165448949,4.668
360050195002000,0.0,7,0.0,6.926900999999999
360050195002001,2.9788424150516803,5,0.595768483010336,0.0
360050195002002,0.0,1,0.0,7.93662
360050195002004,0.0,5,0.0,4.691292
360050195003000,0.0,2,0.0,9.208691
360050195004001,0.0,1,0.0,6.982201
360050197001000,0.0,2,0.0,6.190055999999999
360050197002000,0.0,2,0.0,10.887388
360050197002002,1.56166006469908,1,1.56166006469908,7.160187
360050197003002,3.52056975293276,1,3.52056975293276,4.172786
360050197005000,15.6750825741899,4,3.918770643547475,7.334333999999999
360050199001000,0.0,2,0.0,5.451535
360050199002001,7.25769075840943,1,7.25769075840943,9.980608
360050199003001,0.0,1,0.0,2.966487
360050200001011,9.526515451125775,1,9.526515451125775,0.0
360050200002000,0.0,1,0.0,0.0
360050200004000,0.0,1,0.0,7.764956
360050201001009,253.38106951313662,9,28.153452168126293,1.7388119999999998
360050205011000,0.0,1,0.0,0.0
360050205011006,0.0,1,0.0,0.0
360050205012001,0.0,1,0.0,4.941283
360050205012004,0.0,6,0.0,0.0
360050205014002,0.0,1,0.0,7.219914
360050205021001,0.0,1,0.0,3.8574889999999997
360050206012006,381.30073424054353,48,7.943765296677991,2.17045
360050209004001,0.0,1,0.0,6.1106620000000005
360050210021000,124.48221060136801,1,124.48221060136801,7.065386
360050210024000,7.11690626869094,1,7.11690626869094,7.726875
360050210027000,0.0,1,0.0,7.571928999999999
360050210027001,0.0,1,0.0,0.0
360050211002001,0.0,1,0.0,6.251306
360050213023000,0.0,1,0.0,6.007119
360050215011000,0.0,2,0.0,5.215718
360050215013001,2.7071603226336496,2,1.3535801613168248,7.246753999999999
360050215021000,64.24635222101,1,64.24635222101,5.797818
360050215021001,26.0963125899819,1,26.0963125899819,5.785646
360050215023000,0.0,1,0.0,4.292248000000001
360050215024000,53.29510528775539,1,53.29510528775539,4.5941790000000005
360050215025000,0.0,1,0.0,5.390727
360050216012001,0.0,1,0.0,4.185148000000001
360050216012006,0.0,1,0.0,0.0
